지역,아파트,면적,층,가격
경상남도 진주시,엠코타운더프라하,118.6034,9,47500
경상남도 창원마산합포구,무학자이,128.3853,5,35000
경상남도 창원마산합포구,벽산블루밍,132.556,16,36200
경상남도 창원마산합포구,한일유앤아이,147.5709,7,22700
경상남도 창원마산합포구,두산2,132.72,2,21000
경상남도 창원마산회원구,화성,124.647,2,25000
경상남도 창원마산회원구,현대,125.34,2,19500
경상남도 창원마산회원구,마산양덕4차한일타운,117.5604,9,30200
경상남도 창원마산회원구,메트로시티,124.4478,27,42700
경상남도 창원성산구,창원자이,157.3074,13,48000
경상남도 창원성산구,창원자이,124.872,5,43500
경상남도 창원성산구,동성,135.08,3,22500
경상남도 창원성산구,동성,135.08,14,28000
경상남도 창원성산구,대동디지털황토방,114.8543,11,37250
경상남도 창원성산구,대동디지털황토방,114.8543,10,35800
경상남도 창원성산구,대동,115.032,14,30700
경상남도 창원성산구,대동,115.032,24,32800
경상남도 창원성산구,대동,132.17,15,33500
경상남도 창원성산구,대동,132.18,17,28000
경상남도 창원성산구,대동,115.032,8,32300
경상남도 창원성산구,대동,164.7,21,33500
경상남도 창원성산구,프리빌리지,134.9342,18,44000
경상남도 창원성산구,프리빌리지,124.9018,17,36000
경상남도 창원성산구,프리빌리지2차,124.9884,6,44400
경상남도 창원성산구,프리빌리지2차,124.9884,3,44500
경상남도 창원의창구,대동1차황토방,120.93,13,19400
경상남도 창원의창구,대동1차황토방,120.93,1,18000
경상남도 창원의창구,대동1차황토방,120.93,2,22600
경상남도 창원의창구,두산위브,126.01,8,47500
경상남도 창원의창구,명곡두산위브,137.86,5,45000
경상남도 창원의창구,은아,134.115,1,47000
경상남도 창원의창구,은아,111.61,3,40500
경상남도 창원의창구,은아,134.115,1,47500
경상남도 창원진해구,대동다:숲,130.2003,13,26000
경상남도 창원진해구,우림필유,159.72,12,40000
경상남도 창원진해구,진해자이,125.3181,13,35700
경상남도 창원진해구,일신님,121.4142,12,24500
경상남도 창원진해구,진해이동미소지움,129.33,7,28000
경상남도 창원진해구,창원자은에일린의뜰,114.79,17,37000
경상남도 창원진해구,진해장천대동다숲,122.0641,11,29000
경상남도 창원진해구,한림리츠빌,131.6411,15,30000
경상남도 통영시,장원썬비치,164.36,3,21000
경상남도 통영시,청구,134.85,10,17100
경상남도 함안군,벽산블루밍,126.6159,12,27000
경상남도 함안군,벽산블루밍,126.6159,15,25200
경상북도 경산시,경산백천월드메르디앙,121.3436,8,29000
경상북도 경산시,사동2지구화성파크드림,120.3595,8,35100
경상북도 경산시,옥산서한이다음,120.4392,5,28250
경상북도 경산시,경산 우방유쉘,114.1048,25,33000
경상북도 경산시,경산 우방유쉘,126.4142,21,40000
경상북도 경산시,성암산신동아파밀리에,162.479,7,41500
경상북도 경산시,성암산신동아파밀리에,131.349,5,36000
경상북도 경산시,웰리치성암,115.0099,4,25000
경상북도 경산시,우방맨션1차,128.28,13,32500
경상북도 경산시,중방e-편한세상2단지,121.929,5,47500
경상북도 경주시,코아루그랑블,190.4665,2,34000
경상북도 경주시,코아루그랑블,129.4545,1,19500
경상북도 경주시,경주우방타운,134.89,2,22000
경상북도 경주시,경주우방타운,134.89,3,23000
경상북도 경주시,경주우방명사마을,124.36,1,27400
경상북도 경주시,이안,130.3169,2,29000
경상북도 경주시,이안,149.5675,9,32500
경상북도 경주시,삼성강변타운,134.765,13,19500
경상북도 경주시,삼성강변타운,134.765,5,18000
경상북도 경주시,세정스위츠리버,129.1931,12,25600
경상북도 경주시,청우3차(301~303동),135.36,14,24800
경상북도 경주시,현진에버빌1차,120.127,14,28100
경상북도 경주시,현진에버빌1차,162.06,8,37400
경상북도 구미시,문성경남아너스빌,160.6586,21,35300
경상북도 구미시,문성경남아너스빌,160.6586,10,33500
경상북도 구미시,문성경남아너스빌,160.6586,10,32437
경상북도 구미시,구미원호푸르지오,116.67,12,25000
경상북도 구미시,우림필유,128.5439,6,28300
경상북도 구미시,광평푸르지오1차,115.723,17,22000
경상북도 구미시,남통e-편한세상,125.7825,16,27000
경상북도 구미시,도량파크맨션,134.985,6,14700
경상북도 구미시,도량파크맨션,134.985,8,16800
경상북도 구미시,도량파크맨션,134.985,17,16000
경상북도 구미시,영남네오빌시티1단지,117.1545,17,26000
경상북도 구미시,현진에버빌,127.6372,4,27000
경상북도 구미시,구미중흥에스-클래스에코시티,110.2366,12,36300
경상북도 구미시,구미중흥에스-클래스에코시티,110.2366,5,34800
경상북도 구미시,구미중흥에스-클래스에코시티,110.2366,10,38000
경상북도 구미시,구미중흥에스-클래스에코시티,110.2366,5,34800
경상북도 구미시,푸르지오캐슬A단지,137.1293,6,31700
경상북도 구미시,구미옥계우미린,129.067,6,28000
경상북도 구미시,삼구트리니엔,131.7653,19,29000
경상북도 구미시,옥계e편한세상,120.5588,22,23800
경상북도 구미시,옥계현진에버빌엠파이어,129.78,27,32000
경상북도 구미시,옥계현진에버빌엠파이어,129.78,28,29700
경상북도 구미시,옥계현진에버빌엠파이어,129.78,24,32100
경상북도 구미시,옥계현진에버빌엠파이어,129.78,6,34000
경상북도 구미시,옥계현진에버빌엠파이어,129.78,11,31500
경상북도 구미시,옥계현진에버빌엠파이어,129.78,7,32000
경상북도 구미시,구미인의푸르지오,138.9,1,20500
경상북도 구미시,우방3차,131.22,11,21500
경상북도 김천시,부곡우방,138.68,13,18250
경상북도 김천시,부곡화성,115.239,4,14200
경상북도 김천시,부곡화성,115.239,13,14500
경상북도 문경시,신원아침도시,124.1643,6,29000
경상북도 문경시,애드인,182.75,5,39500
경상북도 상주시,동아,132.72,7,15100
경상북도 안동시,안동송현이안,129.1464,9,32800
경상북도 안동시,세영첼시빌,149.3921,7,31500
경상북도 영주시,코아루,125.3359,6,26500
경상북도 영주시,코아루,125.3359,1,26000
경상북도 영천시,해피포유아파트,124.3982,10,14900
경상북도 영천시,영천대동다:숲,128.3884,4,24600
경상북도 칠곡군,왜관한빛타운,134.77,16,17800
경상북도 포항남구,대잠센트럴하이츠,132.7272,6,42000
경상북도 포항남구,이동현대홈타운,134.982,10,24000
경상북도 포항남구,이동현대홈타운,134.982,3,25000
경상북도 포항남구,이동현대홈타운,134.982,12,25500
경상북도 포항남구,대림한숲타운1차,164.965,15,22700
경상북도 포항남구,대림한숲타운2차,134.95,15,24450
경상북도 포항남구,유강코아루2단지,128.508,12,33300
경상북도 포항남구,유강코아루4단지,208.963,13,40000
경상북도 포항남구,효자웰빙타운에스케이뷰1차,121.4716,3,30500
경상북도 포항남구,효자웰빙타운에스케이뷰1차,121.7703,9,31500
경상북도 포항남구,효자웰빙타운에스케이뷰1차,121.4716,6,30800
경상북도 포항남구,효자웰빙타운에스케이뷰2차,151.9348,7,33500
경상북도 포항남구,효자웰빙타운에스케이뷰2차,130.1223,10,30700
경상북도 포항남구,효자웰빙타운에스케이뷰2차,151.9348,31,42000
경상북도 포항남구,효자웰빙타운에스케이뷰3차,119.79,23,35700
경상북도 포항남구,효자풍림아이원,120.67,24,36000
경상북도 포항북구,양학 도뮤토 ,139.75,13,41500
경상북도 포항북구,포항 e편한세상 양덕,124.48,3,29000
경상북도 포항북구,포항 e편한세상 양덕,124.48,8,30000
경상북도 포항북구,포항양덕풍림아이원,147.6362,1,25900
경상북도 포항북구,우방1,134.79,5,19800
경상북도 포항북구,우현3차신동아파밀리에,122.8331,20,26300
경상북도 포항북구,우현삼도뷰엔빌W,137.8099,5,29500
경상북도 포항북구,우현삼도뷰엔빌W,137.8099,10,31800
경상북도 포항북구,우현삼도뷰엔빌W,137.8099,7,30800
경상북도 포항북구,우현삼도뷰엔빌W,137.8099,2,29700
경상북도 포항북구,대림골든빌,164.4125,16,24000
경상북도 포항북구,대림골든빌,135.4935,2,16000
경상북도 포항북구,두산 위브 더 제니스,130.77,7,28800
경상북도 포항북구,두산 위브 더 제니스,123.4,27,32500
경상북도 포항북구,두산 위브 더 제니스,123.4,25,36000
경상북도 포항북구,럭키장성1,121.02,12,12700
경상북도 포항북구,창포청구타운,134.94,2,15000
경상북도 포항북구,우방비치타운,114.78,20,20900
광주광역시 광산구,어등산 대방노블랜드,113.913,11,45800
광주광역시 광산구,신창1차남양휴튼,125.1218,5,46000
광주광역시 광산구,신동아,116.186,12,25000
광주광역시 광산구,첨단대우,133.82,6,36500
광주광역시 광산구,첨단선경,118.42,11,30700
광주광역시 남구,광주백운1휴먼시아,115.75,7,39200
광주광역시 남구,송촌파인힐,134.82,12,29250
광주광역시 남구,삼익1,131.04,2,48000
광주광역시 남구,명지,125.55,2,19600
광주광역시 남구,한일베라체,117.253,8,33000
광주광역시 동구,금호두암타운,164.88,1,26500
광주광역시 동구,삼익세라믹,125.95,5,31900
광주광역시 북구,금호타운2,124.42,1,20000
광주광역시 북구,삼익,126.96,13,21500
광주광역시 북구,삼익,126.96,14,19500
광주광역시 북구,삼익,126.96,3,20200
광주광역시 북구,호반빌라,158.32,1,24000
광주광역시 북구,금호,134.94,6,28200
광주광역시 북구,대주3,120.897,5,21000
광주광역시 북구,라인동산,115.76,12,26400
광주광역시 북구,라인동산,115.76,6,25500
광주광역시 북구,양산지구현진에버빌,111.94,1,40300
광주광역시 북구,지에스그린자이1차,112.0176,17,40000
광주광역시 북구,현대,163.74,17,25000
광주광역시 북구,현대,129.73,14,22400
광주광역시 북구,삼성,133.35,18,24300
광주광역시 북구,쌍용예가,126.0042,12,49000
광주광역시 북구,쌍용예가,126.0042,10,48700
광주광역시 북구,쌍용예가,126.0042,11,47000
광주광역시 북구,쌍용예가,126.0042,22,48500
광주광역시 북구,용봉동금호어울림,125.5959,15,37000
광주광역시 북구,현대,115.15,4,20500
광주광역시 북구,벽산블루밍메가씨티1단지,120.6054,18,45500
광주광역시 북구,운암동롯데캐슬1단지,122.2947,12,39500
광주광역시 북구,운암동롯데캐슬1단지,122.2947,13,38500
광주광역시 서구,금호베스트빌,132.749,1,40400
광주광역시 서구,삼익,122.08,9,23300
광주광역시 서구,광명하이츠,139.73,5,26300
광주광역시 서구,금호1차,142.55,4,23500
광주광역시 서구,대주2,127.2,11,36000
광주광역시 서구,대주2,127.2,4,37500
광주광역시 서구,대주2,127.2,3,38000
광주광역시 서구,동부센트레빌,114.989,14,41500
광주광역시 서구,금호1,134.94,2,34000
광주광역시 서구,금호1,134.94,1,33200
광주광역시 서구,금호타운3,134.94,7,29000
광주광역시 서구,대주,118.63,5,20000
광주광역시 서구,우미,116.035,13,25500
대구광역시 남구,대덕2차,113.09,8,28500
대구광역시 남구,미리내,169.94,4,35500
대구광역시 남구,앞산힐스테이트,125.5392,2,44500
대구광역시 남구,효성타운1차,130.17,1,40000
대구광역시 남구,효성타운1차,167.47,13,48000
대구광역시 남구,희망교대성유니드,124.6904,17,43200
대구광역시 달서구,성당코오롱하늘채,140.1546,11,44000
대구광역시 달서구,이안월배,123.377,18,46700
대구광역시 달서구,이안월배,123.377,25,46000
대구광역시 달서구,강산타운,134.63,6,30300
대구광역시 달서구,강산타운,134.63,4,31500
대구광역시 달서구,강산타운,134.63,14,31800
대구광역시 달서구,강산타운,134.63,13,32750
대구광역시 달서구,대곡사계절타운,116.95,1,24250
대구광역시 달서구,대곡사계절타운,134.92,1,27850
대구광역시 달서구,대곡사계절타운,134.92,14,29800
대구광역시 달서구,대곡사계절타운,134.92,8,31400
대구광역시 달서구,롯데캐슬레이크,128.13,2,46000
대구광역시 달서구,그린맨션2차,123.3,5,35900
대구광역시 달서구,그린맨션3차,110.97,4,35500
대구광역시 달서구,그린맨션3차,110.97,1,32500
대구광역시 달서구,성당래미안e-편한세상 1단지,127.31,3,47900
대구광역시 달서구,성당래미안e-편한세상 1단지,127.31,5,47500
대구광역시 달서구,유림노르웨이아침,119.533,16,33000
대구광역시 달서구,유림노르웨이아침,150.015,9,39000
대구광역시 달서구,동서,134.97,12,29300
대구광역시 달서구,보성은하,134.92,16,41500
대구광역시 달서구,보성은하,134.92,17,38750
대구광역시 달서구,상인대성스카이렉스,147.002,10,49500
대구광역시 달서구,상인동화아이위시,134.97,9,24000
대구광역시 달서구,상인영남화성타운,134.96,10,35000
대구광역시 달서구,서한,134.93,2,25000
대구광역시 달서구,월촌화성타운,134.9763,10,39900
대구광역시 달서구,성당래미안e-편한세상 3단지,127.31,8,48600
대구광역시 달서구,그린맨션,115.56,2,33100
대구광역시 달서구,한화꿈에그린,114.4,15,33700
대구광역시 달서구,한화꿈에그린,114.4,6,32500
대구광역시 달서구,성서2영남우방타운,120.75,8,36500
대구광역시 달서구,용산보성타운,112.45,14,30700
대구광역시 달서구,용산보성타운,112.45,13,32200
대구광역시 달서구,용산우방,119.49,7,35600
대구광역시 달서구,서한맨션,127.45,4,25800
대구광역시 달서구,서한맨션,127.45,8,25500
대구광역시 달서구,월성보성2,134.705,10,26500
대구광역시 달서구,월성청구타운,116.86,10,28000
대구광역시 달서구,태왕아너스베스트,127.044,25,49600
대구광역시 달서구,대곡역화성파크드림,134.1972,18,43000
대구광역시 달서구,대곡역화성파크드림,134.1972,24,42000
대구광역시 달서구,대곡역화성파크드림,134.1972,10,43250
대구광역시 달서구,성서2화성타운,134.95,12,35800
대구광역시 달서구,성서무지개타운,116.95,1,27000
대구광역시 달서구,성서푸른마을,134.94,8,30000
대구광역시 달서구,성서푸른마을,134.94,4,32000
대구광역시 달서구,대동펜타뷰,118.54,5,31700
대구광역시 달서구,장기파랑새마을,134.9834,12,41000
대구광역시 달서구,장기파랑새마을,134.9834,9,37000
대구광역시 달성군,다사e편한세상,126.6087,5,40000
대구광역시 달성군,다사e편한세상,126.6087,3,40000
대구광역시 달성군,대실역동화아이위시,119.9246,17,43500
대구광역시 달성군,서재보성2,134.98,9,23500
대구광역시 달성군,강창태성그린시티,121.81,18,25700
대구광역시 달성군,호반베르디움2차,111.0137,3,37000
대구광역시 달성군,호반베르디움2차,111.0137,13,39500
대구광역시 달성군,대구테크노폴리스중흥에스-클래스포디움,111.9724,13,46500
대구광역시 달성군,신동아파밀리에,115.654,12,38000
대구광역시 달성군,화원태왕타운,134.73,5,25000
대구광역시 동구,각산태영데시앙,125.2206,2,37000
대구광역시 동구,각산태영데시앙,125.2206,16,38300
대구광역시 동구,각산태영데시앙,133.236,4,39700
대구광역시 동구,각산태영데시앙,135.4474,3,39800
대구광역시 동구,각산태영데시앙,135.4474,10,40000
대구광역시 동구,우방강촌마을2,134.92,2,30000
대구광역시 동구,동대구삼환나우빌,116.6469,21,38800
대구광역시 동구,동대구삼환나우빌,116.6469,21,38800
대구광역시 동구,동대구삼환나우빌,116.6469,5,34800
대구광역시 동구,동대구삼환나우빌,116.6469,19,37000
대구광역시 동구,팔공보성타운2,134.92,13,33000
대구광역시 동구,진로이스트타운,134.91,2,34700
대구광역시 동구,태왕메트로시티,134.98,2,31000
대구광역시 동구,태왕메트로시티,134.98,4,32000
대구광역시 북구,금빛타운,120.93,9,27100
대구광역시 북구,금빛타운,120.93,4,27100
대구광역시 북구,화성그랜드파크,110.4038,4,40000
대구광역시 북구,복현블루밍브라운스톤명문세가,125.1,3,48000
대구광역시 북구,산격대우,114.79,8,37300
대구광역시 북구,산격대우,114.79,11,38200
대구광역시 북구,산격대우,114.79,18,38000
대구광역시 북구,칠곡이편한세상,124.8292,1,42600
대구광역시 북구,청구타운,134.96,12,30400
대구광역시 북구,청구타운,134.96,14,30400
대구광역시 북구,삼성,133.35,5,25900
대구광역시 북구,칠곡관음타운,134.37,10,27000
대구광역시 북구,칠곡관음타운,134.37,16,26300
대구광역시 북구,칠곡대백맨션,134.95,10,21000
대구광역시 북구,화성파크드림와이드,133.2941,12,38500
대구광역시 서구,삼익뉴타운,116.23,12,27900
대구광역시 서구,평리롯데캐슬,124.7848,10,39000
대구광역시 서구,평리푸르지오,113.2671,2,39500
대구광역시 수성구,노변대백,134.86,8,35500
대구광역시 수성구,범물한라맨션,132.01,5,35300
대구광역시 수성구,범물한라맨션,132.01,15,38000
대구광역시 수성구,청구타운,134.49,8,35500
대구광역시 수성구,청아타운,134.73,6,33900
대구광역시 수성구,시지대성유니드,123.4542,14,41500
대구광역시 수성구,시지대성유니드,123.4542,16,39800
대구광역시 수성구,정화우방팔레스,134.95,4,49800
대구광역시 수성구,정화우방팔레스,134.95,13,41000
대구광역시 수성구,시지보성서한아파트,116.65,9,34000
대구광역시 수성구,시지보성서한아파트,134.92,16,43500
대구광역시 수성구,유성푸르나임르노블,110.4618,17,46000
대구광역시 수성구,천마타운,121.04,15,38000
대구광역시 수성구,천마타운,121.04,14,39400
대구광역시 수성구,천마타운,121.04,13,39800
대구광역시 수성구,천마타운,134.97,3,44000
대구광역시 수성구,보성맨션,113.09,10,31800
대구광역시 수성구,화성맨션,132.82,13,36800
대전광역시 대덕구,보람,124.87,5,26100
대전광역시 대덕구,금강엑슬루타워,141.366,50,36200
대전광역시 대덕구,금강엑슬루타워,141.366,7,34000
대전광역시 대덕구,금강엑슬루타워,141.366,22,35500
대전광역시 대덕구,금강엑슬루타워,141.366,45,33580
대전광역시 대덕구,금강엑슬루타워,118.307,43,30500
대전광역시 대덕구,금강엑슬루타워,117.388,23,31000
대전광역시 대덕구,금강엑슬루타워,118.307,32,31500
대전광역시 대덕구,선비마을3단지,118.09,3,30800
대전광역시 대덕구,선비마을3단지,118.09,19,36200
대전광역시 대덕구,새여울라이프,126.39,6,23000
대전광역시 대덕구,새여울라이프,126.39,3,24600
대전광역시 동구,아침마을,118.92,5,37000
대전광역시 동구,아침마을,118.92,9,35500
대전광역시 동구,오투그란데,110.3271,31,23000
대전광역시 동구,오투그란데,110.3271,19,23500
대전광역시 동구,빌라맨션,140.289,4,17000
대전광역시 동구,스마트뷰,118.09,18,34700
대전광역시 동구,스마트뷰,118.09,3,33000
대전광역시 동구,스마트뷰,118.09,4,34000
대전광역시 동구,스마트뷰,118.09,12,36000
대전광역시 동구,신동아,111.69,10,19000
대전광역시 동구,크로바,139.94,15,16000
대전광역시 동구,한숲,114.75,6,25900
대전광역시 동구,동아아파트(201),134.6,11,20600
대전광역시 동구,위드힐,118.43,6,39500
대전광역시 서구,삼성래미안1,114.931,9,31800
대전광역시 서구,삼성래미안1,114.931,16,33000
대전광역시 서구,삼성래미안1,114.931,15,32300
대전광역시 서구,삼성래미안1,114.931,3,25000
대전광역시 서구,삼성래미안1,114.931,11,29900
대전광역시 서구,삼성래미안1,114.931,10,32500
대전광역시 서구,삼성래미안1,114.931,3,34000
대전광역시 서구,삼성래미안2,114.931,1,27900
대전광역시 서구,동건씨티빌2차,132,7,21000
대전광역시 서구,신성미소지움,145.5615,1,28800
대전광역시 서구,대자연마을,134.9,6,37500
대전광역시 서구,대자연마을,134.9,16,35000
대전광역시 서구,대자연마을,134.9,13,32900
대전광역시 서구,대자연마을,134.9,22,34000
대전광역시 서구,신선마을,119.72,8,27700
대전광역시 서구,신선마을,159.37,8,33800
대전광역시 서구,신선마을,119.72,11,34000
대전광역시 서구,신선마을,134.9,10,30800
대전광역시 서구,신선마을,134.9,3,27400
대전광역시 서구,롯데,133.88,8,28500
대전광역시 서구,롯데,133.88,2,23000
대전광역시 서구,롯데,133.88,14,27000
대전광역시 서구,맑은아침,134.1393,19,36700
대전광역시 서구,맑은아침,117.6918,4,36500
대전광역시 서구,가람,137.31,1,47500
대전광역시 서구,가람,122.73,3,47800
대전광역시 서구,국화동성,134.06,8,41000
대전광역시 서구,국화동성,134.06,5,40000
대전광역시 서구,국화라이프,114.28,4,41000
대전광역시 서구,국화라이프,114.28,3,39900
대전광역시 서구,국화라이프,114.28,7,44500
대전광역시 서구,국화라이프,114.28,8,43000
대전광역시 서구,국화라이프,114.28,14,40000
대전광역시 서구,국화라이프,149.99,1,41200
대전광역시 서구,국화신동아,127.95,1,44000
대전광역시 서구,국화우성,114.85,4,49000
대전광역시 서구,국화우성,114.85,14,49700
대전광역시 서구,국화우성,114.85,7,49000
대전광역시 서구,청솔아파트,126.02,4,39400
대전광역시 서구,누리,126.45,1,45000
대전광역시 서구,무궁화,134.85,4,48500
대전광역시 서구,무지개,118.98,1,41800
대전광역시 서구,삼정하이츠,124.005,8,18300
대전광역시 서구,우성,162.025,1,19300
대전광역시 서구,우성,128.6525,1,20400
대전광역시 서구,우성,128.6525,13,23000
대전광역시 서구,우성,162.025,10,24200
대전광역시 서구,우성,128.6525,2,20550
대전광역시 서구,엘아이지건영리가,113.2104,2,36900
대전광역시 유성구,계룡리슈빌(학의뜰),128.541,7,47500
대전광역시 유성구,계룡리슈빌(학의뜰),128.541,6,43000
대전광역시 유성구,오투그란데,118.4319,15,42000
대전광역시 유성구,오투그란데,118.4319,9,40900
대전광역시 유성구,오투그란데,119.3319,7,41000
대전광역시 유성구,오투그란데,119.3319,12,38000
대전광역시 유성구,오투그란데,118.4319,22,46000
대전광역시 유성구,오투그란데,119.3319,18,37500
대전광역시 유성구,오투그란데,119.3319,15,41000
대전광역시 유성구,오투그란데,118.4319,6,41000
대전광역시 유성구,오투그란데,119.3319,15,41000
대전광역시 유성구,오투그란데,119.3319,12,41500
대전광역시 유성구,오투그란데,119.3319,10,41500
대전광역시 유성구,금성백조예미지7단지아파트,128.8419,4,48500
대전광역시 유성구,한화꿈에그린,125.068,10,36500
대전광역시 유성구,한화꿈에그린,125.068,10,37000
대전광역시 유성구,한화꿈에그린,114.781,4,39900
대전광역시 유성구,한화꿈에그린,114.781,15,41000
대전광역시 유성구,한화꿈에그린2차,114.7815,2,48000
대전광역시 유성구,미메이드,121.3836,13,28000
대전광역시 유성구,미메이드,121.3836,2,26500
대전광역시 유성구,제이파크,122.3174,4,22800
대전광역시 유성구,제이파크,122.3174,8,25500
대전광역시 유성구,열매마을11단지(계룡리슈빌),128.345,10,36500
대전광역시 유성구,하우스토리네오미아,126.8524,13,37000
대전광역시 유성구,하우스토리네오미아,126.8524,11,36800
대전광역시 유성구,하우스토리네오미아,126.8524,4,34000
대전광역시 유성구,하우스토리네오미아,126.8524,2,34650
대전광역시 유성구,하우스토리네오미아,126.8524,4,34700
대전광역시 유성구,더포엠2,135.352,10,45000
대전광역시 유성구,타워코리아나주상복합,138.52,7,45000
대전광역시 유성구,유성자이,122.89,33,46500
대전광역시 유성구,한마을,132.67,2,28000
대전광역시 유성구,한마을,132.67,5,29000
대전광역시 유성구,한마을,132.67,11,34500
대전광역시 유성구,대림두레,119.76,5,31000
대전광역시 유성구,대림두레,119.76,15,29200
대전광역시 유성구,럭키하나,116.31,3,26800
대전광역시 유성구,한울,142.69,2,26800
대전광역시 유성구,한울,142.69,13,26500
대전광역시 유성구,한울,117.295,4,24000
대전광역시 유성구,한울,117.295,10,27500
대전광역시 유성구,한울,142.69,1,25000
대전광역시 유성구,한울,117.295,10,25500
대전광역시 유성구,한빛,117.295,5,46500
대전광역시 유성구,드림월드,131.0226,3,45000
대전광역시 유성구,월드컵패밀리타운,125.7427,5,34500
대전광역시 유성구,월드컵패밀리타운,125.7427,2,32500
대전광역시 유성구,월드컵패밀리타운,125.7427,21,34000
대전광역시 유성구,월드컵패밀리타운,125.7427,1,25700
대전광역시 유성구,월드컵패밀리타운,161.2521,4,45000
대전광역시 유성구,장대푸르지오,150.5898,2,45000
대전광역시 유성구,장대푸르지오,150.5898,2,40500
대전광역시 유성구,장대푸르지오,128.699,6,49500
대전광역시 유성구,한일유엔아이,122.7835,11,29000
대전광역시 유성구,삼성푸른,111.815,13,29800
대전광역시 유성구,엑스포,116.37,6,36000
대전광역시 유성구,엑스포,157.14,2,35000
대전광역시 유성구,엑스포,116.37,12,34000
대전광역시 유성구,엑스포,133.11,8,44850
대전광역시 유성구,엑스포,157.14,9,39900
